Song Name,Artist,Length,BPM,Level To Unlock,Easy,Hard,Master,Hidden,Pack,Song Cover
Brain Power,NOMA,1:44,170~173,,4,7,10,,Give Up TREATMENT Vol.3,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/e/e7/Brain_Power.png/80px-Brain_Power.png?version=4d499304a85a1d2aaf5ddbaf7e09aead
Berry Go!!,Freezer feat.Kiichigo,1:51,175,,3,6,9,,Give Up TREATMENT Vol.3,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/1/1e/Berry_Go%21%21.png/80px-Berry_Go%21%21.png?version=4d584f7a44cdb477b3eac7523f9204c6
Sweet* Witch* Girl*,Morimori Atsushi vs. uma,2:09,180,,6,8,10,,Give Up TREATMENT Vol.3,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/0/0b/Sweet_Witch_Girl.png/80px-Sweet_Witch_Girl.png?version=59086c04d52048a5db4a5e15342105d0
trippers feeling!,KAH,2:15,200,,5,7,9,,Give Up TREATMENT Vol.3,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/6/69/Trippers_feeling%21.png/80px-Trippers_feeling%21.png?version=f4048deae6f412988b39c529931093e1
Lilith ambivalence lovers,ikaruga_nex,2:28,155.6,,5,8,10,,Give Up TREATMENT Vol.3,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/0/07/Lilith_ambivalence_lovers.png/80px-Lilith_ambivalence_lovers.png?version=00e36a48874f006242c18cd6d800043c
Leave it Alone,a_hisa,2:07,128,,2,5,8,,Happy Otaku Pack Vol.4,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/5/5b/Leave_it_Alone.png/80px-Leave_it_Alone.png?version=c41ca519b18e278b034ff517dd67c70f
Tsubasa no Oreta Tenshitachi no Requiem,Sakamiya feat.Maeno,1:55,184,,4,7,9,,Happy Otaku Pack Vol.4,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/a/ab/Tsubasa_no_Oreta_Tenshitachi_no_Requiem.png/80px-Tsubasa_no_Oreta_Tenshitachi_no_Requiem.png?version=618df835cbece29af46faccdb8f430c8
Chronomia,Lime,2:19,227,,5,7,9,,Happy Otaku Pack Vol.4,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/d/d3/Chronomia.png/80px-Chronomia.png?version=68296677b262d6a27cd07194d88e5131
Dandelion's Daydream,VeetaCrush,2:34,200,,5,7,8,,Happy Otaku Pack Vol.4,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/5/53/Dandelion%27s_Daydream.png/80px-Dandelion%27s_Daydream.png?version=bb5657dd7fc4b78c23a1858ac685e49f
Lorikeet ~Flat design~,Tedjimo Yomigy,2:36,182,,5,7,10,,Happy Otaku Pack Vol.4,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/e/ef/Lorikeet_~Flat_design~.png/80px-Lorikeet_~Flat_design~.png?version=ee7e3354a1899466e1fe2e1eb77678fe
GOODRAGE,EBIMAYO,1:57,222,,6,8,11,,Happy Otaku Pack Vol.4,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/0/05/GOODRAGE.png/80px-GOODRAGE.png?version=db4015dc532be73a354007b7e11a8112
Destr0yer,Sakuzyo feat.Nikki Simmons,2:56,90,,4,7,9,,Give Up TREATMENT Vol.4,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/e/e5/Destr0yer.png/80px-Destr0yer.png?version=3cc8370d58c575c6e6276a5bda04c867
Noël,Morimori Atsushi vs. uma,2:16,220,,5,8,10,,Give Up TREATMENT Vol.4,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/c/c7/No%C3%ABl.png/80px-No%C3%ABl.png?version=93ce192318ab297fef678d57d7e26694
Kyoukiranbu,LeaF,2:31,230,,7,9,11,,Give Up TREATMENT Vol.4,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/0/0c/Kyouki_Ranbu.png/80px-Kyouki_Ranbu.png?version=dedcfb99f3ee458490ce6c988a6c4880
Two Phace,litmus* vs Sound Souler,2:20,158,,4,7,10,,Give Up TREATMENT Vol.4,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/1/18/Two_Phace.png/80px-Two_Phace.png?version=2736bae0be4e0a32031f7efec46471a8
Fly Again,HyuN & Ritoru,2:36,180,,5,7,10,,Give Up TREATMENT Vol.4,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/b/b6/Fly_Again.png/80px-Fly_Again.png?version=2233aa61ec734d8bc3c3c859631d65a5
ouroVoros,Negentropy,2:15,185,,7,9,11,,Give Up TREATMENT Vol.4,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/e/e5/OuroVoros.png/80px-OuroVoros.png?version=a487038ce7f5c6474e0b77a7469b8e40
