Genre,Song,Artist,BPM,BEGINNER,SPN,SPH,SPA,SPKA,DPN,DPH,DPA,DPKA,Disc,Style,Origin,Unlockable,RemyWiki Link
J-POP,D.A.N.C.E.!,DJ Yoshitaka feat.星野奏子,116,2,3,5,10,,3,5,8,,Empress,11,11,,https://remywiki.com/D.A.N.C.E.!
DRUM'N'BASS,GENOCIDE,dj Killer,175,3,6,10,11,,6,12,12,,Empress,11,11,,https://remywiki.com/GENOCIDE
NUSTYLE GABBA,gigadelic,teranoid feat. MC Natsack,173,3,8,12,12,,10,12,12,,Empress,11,11,,https://remywiki.com/Gigadelic
DIRGE,"ピアノ協奏曲第1番""蠍火""",virkato,165-188,3,5,11,12,,5,10,12,,Empress,11,11,,https://remywiki.com/Piano_kyousoukyoku_dai_1_ban_%22Sasoribi%22
HYPER J-POP FOUR,DoLL,TËЯRA,170,2,4,6,7,,6,7,9,,Empress,10,10,,https://remywiki.com/DoLL
DANCE POP,Lucy,ELE BLOCK,156,2,4,9,11,,4,10,,,Empress,10,10,,https://remywiki.com/Lucy
HAPPY,One More Lovely,Risk Junk,200,3,5,9,12,,4,10,12,,Empress,10,10,,https://remywiki.com/One_More_Lovely
SOUL,lights,flare,142,2,3,6,8,,7,9,10,,Empress,9,9,,https://remywiki.com/Lights
POST ROCK,moon_child,少年ラジオ,130-160,2,4,10,12,,4,11,12,,Empress,9,9,,https://remywiki.com/Moon_child
HARDCORE RAVE,one or eight,sampling masters AYA,155,3,7,10,12,,7,8,10,,Empress,9,9,,https://remywiki.com/One_or_eight
TRANCE,quasar,OutPhase,155,3,6,9,11,,7,11,12,,Empress,9,9,,https://remywiki.com/Quasar
R&B,Really Love,大部真由美,100,2,4,6,10,,4,10,,,Empress,9,9,,https://remywiki.com/Really_Love
EUROBEAT,Blame,good-cool feat. Jeff Coote,155,3,6,7,11,,6,7,10,,Empress,8,8,,https://remywiki.com/Blame
HARD CHANSON,LOVE IS ORANGE,Orange Lounge,180,2,4,6,8,10,4,5,9,,Empress,8,8,,https://remywiki.com/LOVE_IS_ORANGE
EUROBEAT,Monkey Dance,Y&Co.,155,2,4,7,9,,5,6,9,,Empress,8,8,,https://remywiki.com/Monkey_Dance
ELECTROSHOCK,xenon,Mr.T,158,3,5,9,11,,5,8,11,,Empress,8,8,,https://remywiki.com/Xenon
EPIC TRANCE,THE SHINING POLARIS,L.E.D. feat. Sana,147,2,4,6,7,,4,7,,,Empress,5,4CS,,https://remywiki.com/THE_SHINING_POLARIS
TRANCE,LOVE WILL・・・,riewo,144,2,3,4,7,,4,6,8,,Empress,4,4,,https://remywiki.com/LOVE_WILL...
HARD TECHNO,Holic,TaQ,154,3,4,7,11,,7,10,12,,Empress,3,3,,https://remywiki.com/Holic
WORLD HOUSE,THE SAFARI,Lion Musashi,150,3,7,10,,,8,10,,,Empress,3,3,,https://remywiki.com/THE_SAFARI
DISCO,Dancin' Into The Night,good-cool,140,1,2,3,,,2,3,,,Empress,2,2,,https://remywiki.com/Dancin%27_Into_The_Night
HARDCORE,DOMINION,L.E.D.-G,196,,7,10,12,,5,10,12,,Empress,17,17,,https://remywiki.com/DOMINION
INDUSTRIAL,Bad Maniacs,kors k as teranoid,195,,7,10,12,,7,10,12,,Empress,17,17,Yes,https://remywiki.com/Bad_Maniacs
ELECTRO,Electrorgasm,Sota Fujimori,135,,5,9,10,,6,9,11,,Empress,16CS,16CS,,https://remywiki.com/Electrorgasm
TECH HOUSE,From Time To Time,sanodg,140,,4,9,10,,4,10,11,,Empress,16CS,16CS,Yes,https://remywiki.com/From_Time_To_Time
DRUM'N'BASS,FLAG OF PEACE,GUHROOVY fw. NO+CHIN,170,,5,8,11,,5,9,11,,Empress,16CS,16CS,,https://remywiki.com/FLAG_OF_PEACE
BOSSA ELECTRO,Gymnopedie 009,Studio Bongo Mango feat. Junko Wada (BE THE VOICE),200,,5,8,10,,5,8,10,,Empress,16CS,16CS,,https://remywiki.com/Gymnopedie_009
HAPPY HARDCORE,RIZING YOU UP,Ryu☆,177,,6,9,10,,7,10,12,,Empress,16CS,16CS,,https://remywiki.com/RIZING_YOU_UP
乙女ハウス (OTOME HOUSE),Sunshine Hero,kors k feat.Mari*Co,128,,2,7,9,,1,7,10,,Empress,16CS,16CS,,https://remywiki.com/Sunshine_Hero
TRANCE,Time to Empress(Unlockable),dj TAKA feat.wac & secret K,170,,4,8,10,,5,8,11,,Empress,16CS,16CS,Yes,https://remywiki.com/Time_to_Empress
WORLD/ELECTRONICA,Tori-no-kimochi,猫叉Master+,132,,1,6,10,,2,7,11,,Empress,16CS,16CS,,https://remywiki.com/Tori-no-kimochi
NEW AGE,ToyCube Pf.(RX-Ver.S.P.L.)(Unlockable),高田雅史,137-180,,4,8,10,,5,8,11,,Empress,16CS,16CS,Yes,https://remywiki.com/ToyCube_Pf.(RX-Ver.S.P.L.)
DRUM'N'BASS,Troposphere,kobo,165,,5,8,10,,6,9,11,,Empress,16CS,16CS,,https://remywiki.com/Troposphere
BREAKBEATS TRANCE,Unicorn tail(Unlockable),DJ YOSHITAKA,170,,4,8,11,,4,9,12,,Empress,16CS,16CS,Yes,https://remywiki.com/Unicorn_tail
PROGRESSIVE,たまゆら,佐々木博史,180,,6,9,12,,6,10,12,,Empress,16CS,16CS,,https://remywiki.com/Tamayura
PIANO AMBIENT,5.1.1.,dj nagureo,101,1,1,6,10,,1,7,10,,Premium Best,1,1,,https://remywiki.com/5.1.1.
DANCE POP,Dr.LOVE,baby weapon feat.Asuka.M,123,1,2,3,3,,3,4,,,Premium Best,1,1,,https://remywiki.com/Dr.LOVE
BIG BEAT,GAMBOL,SLAKE,102,1,1,1,,,1,1,,,Premium Best,1,1,,https://remywiki.com/GAMBOL
DIGI-ROCK,GRADIUSIC CYBER,TAKA,160-167,2,5,6,7,,4,9,9,,Premium Best,1,1,,https://remywiki.com/GRADIUSIC_CYBER
RAVE,R3,tiger YAMATO,157,2,4,5,6,,4,6,8,,Premium Best,1,1,,https://remywiki.com/R3
DRUM'N'BASS,gentle stress,DJ Swan,175,2,3,4,9,,4,5,8,,Premium Best,substream,substream,,https://remywiki.com/Gentle_stress
TRANCE,THE EARTH LIGHT,L.E.D. LIGHT,145,3,4,7,8,10,5,10,7,,Premium Best,substream,substream,,https://remywiki.com/THE_EARTH_LIGHT
CHILL OUT,0.59,dj TAKA,123-135,2,4,6,7,,4,6,7,,Premium Best,2,2,,https://remywiki.com/.59
BIG BEAT,Electro Tuned (the SubS mix),TaQ,125,2,4,5,6,,6,9,,,Premium Best,2,2,,https://remywiki.com/Electro_Tuned_(the_SubS_mix)
ITALO HOUSE,I Was The One,good-cool,124,1,2,3,3,,1,2,,,Premium Best,2,2,,https://remywiki.com/I_Was_The_One
DRUM'N BASS,era (nostalmix),TaQ,90-180,2,5,8,9,,5,12,11,,Premium Best,3,3,,https://remywiki.com/Era_(nostalmix)
DIGI ROCK,LEADING CYBER,dj TAKA,150,3,4,6,7,,4,6,6,,Premium Best,3,3,,https://remywiki.com/LEADING_CYBER
PIANO AMBIENT,Presto,Osamu Kubota,136,2,3,8,8,,3,8,,,Premium Best,3,3,,https://remywiki.com/Presto
EPIC TRANCE,ABSOLUTE,dj TAKA,60-144,2,5,8,10,,6,8,11,,Premium Best,4,4,,https://remywiki.com/ABSOLUTE
HIP HOP,CHECKING YOU OUT,good-cool feat. JP Miles,108-216,2,6,9,11,,6,11,11,,Premium Best,4,4,,https://remywiki.com/CHECKING_YOU_OUT
DUTCH TRANCE,Clione,kors k,148,1,4,5,10,,3,4,9,,Premium Best,4,4,,https://remywiki.com/Clione
TECHNO,DXY!,TaQ,148,3,6,9,10,,6,12,12,,Premium Best,4,4,,https://remywiki.com/DXY!
DRUM'N'BASS,era (step mix),TaQ,90-180,3,5,8,9,,4,8,11,,Premium Best,4,4,,https://remywiki.com/Era_(step_mix)
HAPPY HARDCORE,starmine,Ryu☆,182,2,5,8,9,10,5,8,12,,Premium Best,4,4,,https://remywiki.com/Starmine
INTELLIGENCE,Abyss,dj TAKA,142,3,5,7,8,,7,8,9,,Premium Best,5,5,,https://remywiki.com/Abyss
TECHNO,outer wall,sampling masters MEGA,149,3,5,6,8,11,5,7,10,,Premium Best,5,5,,https://remywiki.com/Outer_wall
TRANCE,sync,OutPhase (TaQ/dj TAKA),167,3,6,8,10,,7,9,10,,Premium Best,5,5,,https://remywiki.com/Sync
PROGRESSIVE,V,TAKA,150,2,5,10,12,,6,10,11,,Premium Best,5,5,,https://remywiki.com/V
BALLAD,BALLAD FOR YOU～想いの雨～,NM feat.Thomas Howard,65,1,3,5,7,,5,8,,,Premium Best,6,6,,https://remywiki.com/BALLAD_FOR_YOU~omoi_no_ame~
HOUSE,Blueberry Stream,dj TAKA,138,3,4,7,8,,7,9,10,,Premium Best,6,6,,https://remywiki.com/Blueberry_Stream
TRANCE,Colors (radio edit),dj TAKA,150,3,6,9,12,,6,10,12,,Premium Best,6,6,,https://remywiki.com/Colors_(radio_edit)
TRANCE,Frozen Ray (original mix),dj TAKA,156,3,6,9,9,,5,9,9,,Premium Best,6,6,,https://remywiki.com/Frozen_Ray_(original_mix)
DRUM'N'BASS,G2,Aya,170,3,8,9,11,12,6,7,12,,Premium Best,6,6,,https://remywiki.com/G2
TECHNO,NEMESIS,D.J.SETUP,164,3,5,9,11,,7,10,12,,Premium Best,6,6,,https://remywiki.com/NEMESIS
RENAISSANCE,A,D.J.Amuro,93-191,3,6,10,12,,8,11,12,,Premium Best,7,7,,https://remywiki.com/A
YEYE,Marmalade Reverie,Orange Lounge,170,2,4,5,7,,6,7,9,,Premium Best,7,7,,https://remywiki.com/Marmalade_Reverie
HOUSE,Spica,D.JW,128,1,3,9,11,,3,9,12,,Premium Best,7,7,,https://remywiki.com/Spica
TECHNO,stoic,TaQ,155,3,8,10,11,,7,10,12,,Premium Best,7,7,,https://remywiki.com/Stoic
TRANCE,Tomorrow Perfume,dj TAKA,144,3,6,9,9,,6,10,11,,Premium Best,7,7,,https://remywiki.com/Tomorrow_Perfume
ELECTROSHOCK,ZERO-ONE,Mr.T,160,3,5,9,10,11,5,8,10,,Premium Best,7,7,,https://remywiki.com/ZERO-ONE
ORCHESTRAL,革命,dj TAKA with NAOKI,83-148,2,6,10,10,,7,12,12,,Premium Best,7,7,,https://remywiki.com/Kakumei
TRANCE,dissolve,kobo,140,3,5,7,8,,5,9,,,Premium Best,8,6CS,,https://remywiki.com/Dissolve
A.O.R.,jelly kiss,Togo project feat. Sana,135,2,4,5,8,,2,5,8,,Premium Best,8,6CS,,https://remywiki.com/Jelly_kiss
