Type,BPM,Artist,Song Title,Version,Single,Double,Single Performance,Double Performance,Co-Op,Series,Channel,Exclusivity
Remix,168,msgoon,msgoon RMX pt.3,1,6 17,11 20,,,,NX ~ NXA,Remix,
Normal,136,Banya Production,My Dreams,1,4 10 17 18,18,,5,,NX ~ NXA,Original,
Remix,160,Nina Pilots & PXNDX,Nina Pxndx Mix,1,6 16,8,,,,NX ~ NXA,Remix,
Full,98,Big metra,Panuelito Rojo,1,9 16,18,,,,NX ~ NXA,Full Song,
Normal,98,Big metra,Panuelito Rojo,1,5 10 17,18,1,4,,NX ~ NXA,World,
Full,160,PXNDX,Procedimientos Para Llegar A Un Común Acuerdo,1,6 17,7,,,,NX ~ NXA,Full Song,
Normal,160,PXNDX,Procedimientos Para Llegar A Un Común Acuerdo,1,3 7 15 18,7 16 19,,,,NX ~ NXA,World,
Normal,162,Yahpp,Pumptris 8Bit ver.,1,3 5 8 16 17,,15,,2,NX ~ NXA,Original,
Normal,153,Yahpp,Pumptris Quattro,1,3 7 12 17 19,13 20 22,10,2,,NX ~ NXA,Original,
Normal,136,Yahpp,Solitary 1.5,1,7 16,18,4,6,,NX ~ NXA,Original,
Normal,134,Banya Production,The People didn't know,1,2 5 12 15,7 17,,,,NX ~ NXA,Original,
Remix,134,Banya Production,The People didn't know “Pumping Up”,1,7,4 17,,,,NX ~ NXA,Remix,
Normal,104,Banya Production,Toccata,1,4 7 10 17,14 17,3,6,,NX ~ NXA,Original,
Full,105,Big metra,Trato De No Trabarme,1,10 22,24,,,,NX ~ NXA,Full Song,
Remix,162,Banya Production,Turkey Virus,1,8 15,11,,,,NX ~ NXA,Remix,
Normal,92,Banya Production,Ugly Dee,1,3 5 9,11 15,,,,NX ~ NXA,Original,
Remix,195,Yahpp,WI-EX-DOC-VA,1,15 21,15 23,,,,NX ~ NXA,Remix,
Normal,122,Yahpp,Witch Doctor #1,1,2 5 8 9 15 16 18,17 19 20,3,7,,NX ~ NXA,Original,
Normal,200,SLAM,1950,1,17 20 23 25,21 25 27,,3,,Prime,Original,
Normal,200,D_AAN,Achluoias,1,8 15 18 22 24,12 16 24 26,,3,,Prime,World,
Normal,130,Zicron,Across the Ocean,1,3 6 9 15,11 16,,,,Prime,World,
Normal,152,TatshMusicCircle,"Ai, Yurete...",1,1 3 6 9 13 16,8 15 18,,,,Prime,J-Music,
Normal,160,DM Ashura,Allegro Piu Mosso,1,4 6 11 16 19,13 19,,,,Prime,Original,
Normal,125,Bakusute Sotokanda Icchome,Amai Yuuwaku Dangerous,1,1 3 6 11 15,5 10 16,,3,,Prime,J-Music,
Normal,150,Gentle Stick,Amphitryon,1,6 11 18,12 20,,,,Prime,Original,
Normal,192,DM Ashura,Annihilator Method,1,7 10 15 19 23,12 20 24,,4,,Prime,Original,
